delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,F du Plessis,TA Boult,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
0.2,F du Plessis,TA Boult,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
0.3,F du Plessis,TA Boult,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
0.4,F du Plessis,TA Boult,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
0.5,F du Plessis,TA Boult,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
0.6,SR Watson,TA Boult,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
1.1,F du Plessis,J Suchith,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
1.2,F du Plessis,J Suchith,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
1.3,SR Watson,J Suchith,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
1.4,SR Watson,J Suchith,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
1.5,SR Watson,J Suchith,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
1.6,SR Watson,J Suchith,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
2.1,F du Plessis,TA Boult,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
2.2,F du Plessis,TA Boult,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-05-01,male,T20,0,Chennai Super Kings,runs,80,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,MA Chidambaram Stadium
