delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DP Conway,Mohammed Shami,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
0.2,DP Conway,Mohammed Shami,{'legbyes': 1},RD Gaikwad,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
0.3,RD Gaikwad,Mohammed Shami,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
0.4,RD Gaikwad,Mohammed Shami,0,DP Conway,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
0.5,DP Conway,Mohammed Shami,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
0.6,DP Conway,Mohammed Shami,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
1.1,RD Gaikwad,HH Pandya,0,DP Conway,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
1.2,RD Gaikwad,HH Pandya,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
1.3,RD Gaikwad,HH Pandya,0,DP Conway,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
1.4,RD Gaikwad,HH Pandya,0,DP Conway,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
1.5,DP Conway,HH Pandya,0,RD Gaikwad,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
1.6,RD Gaikwad,HH Pandya,0,DP Conway,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
2.1,RD Gaikwad,Mohammed Shami,0,DP Conway,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
2.2,DP Conway,Mohammed Shami,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'DP Conway', 'kind': 'bowled'}",0.0,0.0,0.0,0.0,0,bowled,DP Conway,0,0,0,0,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
2.3,MM Ali,Mohammed Shami,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Ahmedabad,2023-03-31,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Rashid Khan,20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad"
