delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,F du Plessis,Harpreet Brar,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.2,SR Watson,Harpreet Brar,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.3,SR Watson,Harpreet Brar,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.4,F du Plessis,Harpreet Brar,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.5,SR Watson,Harpreet Brar,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.6,SR Watson,Harpreet Brar,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.1,F du Plessis,Mohammed Shami,0,SR Watson,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.2,F du Plessis,Mohammed Shami,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.3,SR Watson,Mohammed Shami,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.4,SR Watson,Mohammed Shami,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.5,SR Watson,Mohammed Shami,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.6,F du Plessis,Mohammed Shami,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.1,F du Plessis,SM Curran,0,SR Watson,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.2,F du Plessis,SM Curran,0,SR Watson,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2.0,0.0,2.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.3,F du Plessis,SM Curran,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.4,SR Watson,SM Curran,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.5,F du Plessis,SM Curran,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.6,SR Watson,SM Curran,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
3.1,F du Plessis,Mohammed Shami,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
3.2,F du Plessis,Mohammed Shami,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
3.3,SR Watson,Mohammed Shami,{'legbyes': 1},F du Plessis,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0.0,0,0,0,0,0.0,1.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
3.4,F du Plessis,Mohammed Shami,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
3.5,F du Plessis,Mohammed Shami,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
3.6,F du Plessis,Mohammed Shami,0,SR Watson,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
4.1,SR Watson,SM Curran,{'wides': 1},F du Plessis,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
4.2,SR Watson,SM Curran,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'SR Watson', 'kind': 'bowled'}",0.0,0,0.0,0.0,0,bowled,SR Watson,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
4.3,SK Raina,SM Curran,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
4.4,SK Raina,SM Curran,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
4.5,F du Plessis,SM Curran,0,SK Raina,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
4.6,F du Plessis,SM Curran,0,SK Raina,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
4.7,F du Plessis,SM Curran,0,SK Raina,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
5.1,F du Plessis,R Ashwin,0,SK Raina,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
5.2,F du Plessis,R Ashwin,0,SK Raina,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
5.3,SK Raina,R Ashwin,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
5.4,SK Raina,R Ashwin,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4.0,0.0,4.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
5.5,SK Raina,R Ashwin,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Chennai Super Kings,Chandigarh,2019-05-05,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,KL Rahul,20,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
