delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RD Gaikwad,UT Yadav,{'noballs': 1},DP Conway,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,1.0,0,0.0,0,0,0,0,0,1,1,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
0.2,RD Gaikwad,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
0.3,RD Gaikwad,UT Yadav,{'wides': 1},DP Conway,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0,0.0,0,0,0,0,0,1,1,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
0.4,RD Gaikwad,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
0.5,RD Gaikwad,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'RD Gaikwad', 'fielders': ['N Rana'], 'kind': 'caught'}",0.0,0.0,0,0.0,0,caught,RD Gaikwad,['N Rana'],0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
0.6,RV Uthappa,UT Yadav,{'wides': 1},DP Conway,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0,0.0,0,0,0,0,0,1,1,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
0.7,RV Uthappa,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
0.8,RV Uthappa,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
0.9,RV Uthappa,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
1.1,DP Conway,Shivam Mavi,0,RV Uthappa,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
1.2,DP Conway,Shivam Mavi,0,RV Uthappa,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
1.3,DP Conway,Shivam Mavi,0,RV Uthappa,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
1.4,RV Uthappa,Shivam Mavi,0,DP Conway,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0,0.0,0,0,0,0,4,0,4,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
1.5,RV Uthappa,Shivam Mavi,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
1.6,RV Uthappa,Shivam Mavi,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
2.1,DP Conway,UT Yadav,0,RV Uthappa,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
2.2,RV Uthappa,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0,0.0,0,0,0,0,6,0,6,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
2.3,RV Uthappa,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
2.4,RV Uthappa,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
2.5,RV Uthappa,UT Yadav,0,DP Conway,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
2.6,DP Conway,UT Yadav,0,RV Uthappa,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
3.1,RV Uthappa,Shivam Mavi,0,DP Conway,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
3.2,DP Conway,Shivam Mavi,0,RV Uthappa,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
3.3,DP Conway,Shivam Mavi,0,RV Uthappa,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2022-03-26,male,T20,0,Kolkata Knight Riders,wickets,6,0,0,0,0,UT Yadav,20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Wankhede Stadium, Mumbai"
