delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RD Gaikwad,DR Sams,0,DP Conway,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.2,DP Conway,DR Sams,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'DP Conway', 'kind': 'lbw'}",0.0,0,0.0,0,0,lbw,DP Conway,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.3,MM Ali,DR Sams,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.4,MM Ali,DR Sams,{'wides': 1},RD Gaikwad,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.5,MM Ali,DR Sams,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'MM Ali', 'fielders': ['HR Shokeen'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,MM Ali,['HR Shokeen'],0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.6,RV Uthappa,DR Sams,{'wides': 1},RD Gaikwad,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.7,RV Uthappa,DR Sams,{'wides': 1},RD Gaikwad,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.8,RV Uthappa,DR Sams,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
0.9,RV Uthappa,DR Sams,0,RD Gaikwad,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.1,RV Uthappa,JJ Bumrah,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.2,RV Uthappa,JJ Bumrah,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.3,RV Uthappa,JJ Bumrah,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.4,RV Uthappa,JJ Bumrah,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'RV Uthappa', 'kind': 'lbw'}",0.0,0,0.0,0,0,lbw,RV Uthappa,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.5,AT Rayudu,JJ Bumrah,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
1.6,AT Rayudu,JJ Bumrah,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.1,RD Gaikwad,DR Sams,0,AT Rayudu,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.2,AT Rayudu,DR Sams,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.3,AT Rayudu,DR Sams,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
2.4,AT Rayudu,DR Sams,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2022-05-12,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,DR Sams,20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"Wankhede Stadium, Mumbai"
