delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AT Rayudu,DS Kulkarni,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
0.2,AT Rayudu,DS Kulkarni,0,SR Watson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
0.3,SR Watson,DS Kulkarni,0,AT Rayudu,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
0.4,SR Watson,DS Kulkarni,0,AT Rayudu,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
0.5,SR Watson,DS Kulkarni,0,AT Rayudu,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
0.6,SR Watson,DS Kulkarni,0,AT Rayudu,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
1.1,AT Rayudu,JC Archer,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
1.2,AT Rayudu,JC Archer,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
1.3,AT Rayudu,JC Archer,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
1.4,AT Rayudu,JC Archer,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
1.5,AT Rayudu,JC Archer,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
1.6,AT Rayudu,JC Archer,0,SR Watson,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'AT Rayudu', 'fielders': ['JC Buttler'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,AT Rayudu,['JC Buttler'],0,0,0,Chennai Super Kings,Chennai,2019-03-31,male,T20,0,Chennai Super Kings,runs,8,0,0,0,0,MS Dhoni,20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium
