delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RD Gaikwad,Mohammed Siraj,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
0.2,F du Plessis,Mohammed Siraj,0,RD Gaikwad,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
0.3,F du Plessis,Mohammed Siraj,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
0.4,F du Plessis,Mohammed Siraj,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
0.5,F du Plessis,Mohammed Siraj,0,RD Gaikwad,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
0.6,RD Gaikwad,Mohammed Siraj,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
1.1,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
1.2,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
1.3,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
1.4,RD Gaikwad,KA Jamieson,{'wides': 1},F du Plessis,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
1.5,RD Gaikwad,KA Jamieson,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
1.6,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
1.7,RD Gaikwad,KA Jamieson,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
2.1,F du Plessis,Mohammed Siraj,0,RD Gaikwad,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
2.2,F du Plessis,Mohammed Siraj,0,RD Gaikwad,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
2.3,RD Gaikwad,Mohammed Siraj,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
2.4,RD Gaikwad,Mohammed Siraj,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
2.5,RD Gaikwad,Mohammed Siraj,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
2.6,RD Gaikwad,Mohammed Siraj,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
3.1,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
3.2,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
3.3,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
3.4,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
3.5,RD Gaikwad,KA Jamieson,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
3.6,F du Plessis,KA Jamieson,0,RD Gaikwad,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
4.1,RD Gaikwad,YS Chahal,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
4.2,RD Gaikwad,YS Chahal,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
4.3,RD Gaikwad,YS Chahal,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Mumbai,2021-04-25,male,T20,0,Chennai Super Kings,runs,69,0,0,0,0,RA Jadeja,20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Wankhede Stadium, Mumbai"
