delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PD Salt,Mohammed Shami,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PD Salt', 'fielders': ['DA Miller'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,PD Salt,['DA Miller'],0,0,0,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
0.2,PK Garg,Mohammed Shami,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
0.3,PK Garg,Mohammed Shami,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
0.4,PK Garg,Mohammed Shami,0,DA Warner,"{'extras': 0, 'total': 3, 'batsman': 3}",0,0.0,0.0,0.0,0,0,0,0,0,3,0,3,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
0.5,DA Warner,Mohammed Shami,0,PK Garg,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
0.6,DA Warner,Mohammed Shami,0,PK Garg,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
1.1,PK Garg,HH Pandya,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
1.2,PK Garg,HH Pandya,{'noballs': 1},DA Warner,"{'extras': 1, 'total': 1, 'batsman': 0}","{'player_out': 'DA Warner', 'fielders': ['Rashid Khan'], 'kind': 'run out'}",0.0,1.0,0.0,0,0,run out,DA Warner,['Rashid Khan'],0,1,1,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
1.3,PK Garg,HH Pandya,0,RR Rossouw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
1.4,RR Rossouw,HH Pandya,0,PK Garg,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Ahmedabad,2023-05-02,male,T20,0,Delhi Capitals,runs,5,0,0,0,0,Mohammed Shami,20,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,"Narendra Modi Stadium, Ahmedabad"
