delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PP Shaw,SS Cottrell,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
0.2,PP Shaw,SS Cottrell,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
0.3,PP Shaw,SS Cottrell,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
0.4,PP Shaw,SS Cottrell,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
0.5,PP Shaw,SS Cottrell,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
0.6,S Dhawan,SS Cottrell,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
1.1,PP Shaw,Mohammed Shami,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
1.2,PP Shaw,Mohammed Shami,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
1.3,PP Shaw,Mohammed Shami,{'byes': 1},S Dhawan,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
1.4,S Dhawan,Mohammed Shami,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'S Dhawan', 'kind': 'run out'}",0.0,0.0,0.0,0.0,0,run out,S Dhawan,0,0,0,0,Delhi Capitals,0,2020-09-20,male,T20,0,0,0,0,tie,result,Delhi Capitals,0,MP Stoinis,20,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Dubai International Cricket Stadium
