delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MP Stoinis,TA Boult,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'MP Stoinis', 'fielders': ['Q de Kock'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,MP Stoinis,['Q de Kock'],0,0,0,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
0.2,AM Rahane,TA Boult,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
0.3,S Dhawan,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
0.4,S Dhawan,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
0.5,S Dhawan,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
0.6,S Dhawan,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
1.1,AM Rahane,JJ Bumrah,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
1.2,S Dhawan,JJ Bumrah,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
1.3,S Dhawan,JJ Bumrah,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
1.4,S Dhawan,JJ Bumrah,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
1.5,S Dhawan,JJ Bumrah,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
1.6,AM Rahane,JJ Bumrah,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
2.1,S Dhawan,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
2.2,S Dhawan,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,0,2020-11-10,male,T20,0,Mumbai Indians,wickets,5,0,0,0,0,TA Boult,20,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium
