delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PP Shaw,C Sakariya,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
0.2,PP Shaw,C Sakariya,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
0.3,PP Shaw,C Sakariya,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
0.4,S Dhawan,C Sakariya,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
0.5,S Dhawan,C Sakariya,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
0.6,S Dhawan,C Sakariya,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
1.1,S Dhawan,JD Unadkat,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
1.2,PP Shaw,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
1.3,S Dhawan,JD Unadkat,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
1.4,S Dhawan,JD Unadkat,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
1.5,S Dhawan,JD Unadkat,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
1.6,PP Shaw,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PP Shaw', 'fielders': ['DA Miller'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,PP Shaw,['DA Miller'],0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
2.1,S Dhawan,C Sakariya,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
2.2,S Dhawan,C Sakariya,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
2.3,AM Rahane,C Sakariya,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
2.4,S Dhawan,C Sakariya,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
2.5,AM Rahane,C Sakariya,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
2.6,AM Rahane,C Sakariya,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
3.1,S Dhawan,JD Unadkat,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'S Dhawan', 'fielders': ['SV Samson'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,S Dhawan,['SV Samson'],0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
3.2,RR Pant,JD Unadkat,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
3.3,RR Pant,JD Unadkat,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
3.4,RR Pant,JD Unadkat,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
3.5,RR Pant,JD Unadkat,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
3.6,RR Pant,JD Unadkat,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
4.1,AM Rahane,CH Morris,0,RR Pant,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
4.2,AM Rahane,CH Morris,0,RR Pant,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
4.3,RR Pant,CH Morris,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
4.4,AM Rahane,CH Morris,{'wides': 2},RR Pant,"{'extras': 2, 'total': 2, 'batsman': 0}",0,2.0,0,0.0,0,0,0,0,0,0,2,2,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
4.5,RR Pant,CH Morris,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
4.6,RR Pant,CH Morris,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
4.7,AM Rahane,CH Morris,0,RR Pant,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
5.1,RR Pant,JD Unadkat,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Capitals,Mumbai,2021-04-15,male,T20,0,Rajasthan Royals,wickets,3,0,0,0,0,JD Unadkat,20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,"Wankhede Stadium, Mumbai"
