delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PP Shaw,DL Chahar,{'wides': 1},SS Iyer,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
0.2,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
0.3,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
0.4,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
0.5,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
0.6,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
0.7,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
1.1,SS Iyer,L Ngidi,{'legbyes': 2},PP Shaw,"{'extras': 2, 'total': 2, 'batsman': 0}",0,0.0,0,2.0,0,0,0,0,0,0,2,2,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
1.2,SS Iyer,L Ngidi,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
1.3,PP Shaw,L Ngidi,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
1.4,PP Shaw,L Ngidi,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
1.5,SS Iyer,L Ngidi,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
1.6,SS Iyer,L Ngidi,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
2.1,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
2.2,PP Shaw,DL Chahar,{'wides': 1},SS Iyer,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
2.3,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
2.4,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
2.5,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
2.6,SS Iyer,DL Chahar,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
2.7,SS Iyer,DL Chahar,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
3.1,SS Iyer,RA Jadeja,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
3.2,PP Shaw,RA Jadeja,0,SS Iyer,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
3.3,PP Shaw,RA Jadeja,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
3.4,PP Shaw,RA Jadeja,0,SS Iyer,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
3.5,PP Shaw,RA Jadeja,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
3.6,SS Iyer,RA Jadeja,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
4.1,PP Shaw,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PP Shaw', 'fielders': ['SN Thakur'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,PP Shaw,['SN Thakur'],0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
4.2,RR Pant,DL Chahar,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
4.3,SS Iyer,DL Chahar,0,RR Pant,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
4.4,SS Iyer,DL Chahar,0,RR Pant,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
4.5,SS Iyer,DL Chahar,0,RR Pant,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
4.6,SS Iyer,DL Chahar,0,RR Pant,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
5.1,RR Pant,SN Thakur,0,SS Iyer,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
5.2,RR Pant,SN Thakur,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
5.3,RR Pant,SN Thakur,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
5.4,RR Pant,SN Thakur,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
5.5,RR Pant,SN Thakur,0,SS Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
5.6,RR Pant,SN Thakur,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-18,male,T20,0,Delhi Daredevils,runs,34,0,0,0,0,HV Patel,20,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Arun Jaitley Stadium
