delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PP Shaw,DS Kulkarni,0,C Munro,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
0.2,PP Shaw,DS Kulkarni,0,C Munro,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
0.3,PP Shaw,DS Kulkarni,0,C Munro,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
0.4,C Munro,DS Kulkarni,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'C Munro', 'fielders': ['JC Buttler'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,C Munro,['JC Buttler'],0,0,0,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
0.5,SS Iyer,DS Kulkarni,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
0.6,SS Iyer,DS Kulkarni,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
1.1,PP Shaw,JC Archer,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
1.2,PP Shaw,JC Archer,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
1.3,PP Shaw,JC Archer,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
1.4,SS Iyer,JC Archer,0,PP Shaw,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-02,male,T20,0,Delhi Daredevils,runs,4,0,0,0,0,RR Pant,20,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium
