delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PP Shaw,YS Chahal,0,JJ Roy,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
0.2,PP Shaw,YS Chahal,0,JJ Roy,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
0.3,JJ Roy,YS Chahal,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
0.4,PP Shaw,YS Chahal,0,JJ Roy,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
0.5,JJ Roy,YS Chahal,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
0.6,PP Shaw,YS Chahal,0,JJ Roy,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PP Shaw', 'kind': 'bowled'}",0.0,0.0,0.0,0.0,0,bowled,PP Shaw,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
1.1,JJ Roy,UT Yadav,0,SS Iyer,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
1.2,JJ Roy,UT Yadav,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
1.3,JJ Roy,UT Yadav,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
1.4,JJ Roy,UT Yadav,{'wides': 1},SS Iyer,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
1.5,JJ Roy,UT Yadav,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
1.6,JJ Roy,UT Yadav,0,SS Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
1.7,JJ Roy,UT Yadav,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
2.1,SS Iyer,YS Chahal,0,JJ Roy,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
2.2,SS Iyer,YS Chahal,0,JJ Roy,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
2.3,SS Iyer,YS Chahal,0,JJ Roy,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
2.4,JJ Roy,YS Chahal,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'JJ Roy', 'kind': 'bowled'}",0.0,0.0,0.0,0.0,0,bowled,JJ Roy,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
2.5,RR Pant,YS Chahal,0,SS Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
2.6,SS Iyer,YS Chahal,0,RR Pant,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
3.1,RR Pant,TG Southee,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
3.2,RR Pant,TG Southee,0,SS Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-05-12,male,T20,0,Royal Challengers Bangalore,wickets,5,0,0,0,0,AB de Villiers,20,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Arun Jaitley Stadium
