delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PP Shaw,B Kumar,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
0.2,PP Shaw,B Kumar,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
0.3,PP Shaw,B Kumar,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
0.4,GJ Maxwell,B Kumar,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
0.5,PP Shaw,B Kumar,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
0.6,PP Shaw,B Kumar,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
1.1,GJ Maxwell,Sandeep Sharma,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
1.2,GJ Maxwell,Sandeep Sharma,0,PP Shaw,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
1.3,PP Shaw,Sandeep Sharma,0,GJ Maxwell,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
1.4,PP Shaw,Sandeep Sharma,0,GJ Maxwell,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'GJ Maxwell', 'kind': 'run out'}",0.0,0.0,0.0,0,0,run out,GJ Maxwell,0,0,0,0,Delhi Daredevils,Hyderabad,2018-05-05,male,T20,0,Sunrisers Hyderabad,wickets,7,0,0,0,0,Rashid Khan,20,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Rajiv Gandhi International Stadium
