delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WP Saha,UT Yadav,{'legbyes': 1},Shubman Gill,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.2,Shubman Gill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.3,Shubman Gill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.4,Shubman Gill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.5,Shubman Gill,UT Yadav,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.6,WP Saha,UT Yadav,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.1,Shubman Gill,TG Southee,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'Shubman Gill', 'fielders': ['SW Billings'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,Shubman Gill,['SW Billings'],0,0,0,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.2,HH Pandya,TG Southee,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.3,HH Pandya,TG Southee,0,WP Saha,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.4,HH Pandya,TG Southee,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Gujarat Titans,Navi Mumbai,2022-04-23,male,T20,0,Gujarat Titans,runs,8,0,0,0,0,Rashid Khan,20,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
