delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WP Saha,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
0.2,WP Saha,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
0.3,WP Saha,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 3, 'batsman': 3}",0,0.0,0,0,0.0,0,0,0,0,3,0,3,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
0.4,Shubman Gill,Arjun Tendulkar,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
0.5,WP Saha,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
0.6,WP Saha,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
1.1,Shubman Gill,JP Behrendorff,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
1.2,Shubman Gill,JP Behrendorff,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
1.3,Shubman Gill,JP Behrendorff,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
1.4,Shubman Gill,JP Behrendorff,0,WP Saha,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
1.5,Shubman Gill,JP Behrendorff,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
1.6,WP Saha,JP Behrendorff,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
2.1,WP Saha,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'WP Saha', 'fielders': ['Ishan Kishan'], 'kind': 'caught'}",0.0,0,0,0.0,0,caught,WP Saha,['Ishan Kishan'],0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
2.2,HH Pandya,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
2.3,HH Pandya,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
2.4,HH Pandya,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
2.5,HH Pandya,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
2.6,HH Pandya,Arjun Tendulkar,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
3.1,HH Pandya,JP Behrendorff,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
3.2,HH Pandya,JP Behrendorff,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
3.3,HH Pandya,JP Behrendorff,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
3.4,HH Pandya,JP Behrendorff,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
3.5,Shubman Gill,JP Behrendorff,0,HH Pandya,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
3.6,HH Pandya,JP Behrendorff,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
4.1,Shubman Gill,RP Meredith,0,HH Pandya,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
4.2,Shubman Gill,RP Meredith,0,HH Pandya,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-04-25,male,T20,0,Gujarat Titans,runs,55,0,0,0,0,A Manohar,20,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,"Narendra Modi Stadium, Ahmedabad"
