delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WP Saha,Sandeep Sharma,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.2,WP Saha,Sandeep Sharma,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.3,WP Saha,Sandeep Sharma,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.4,WP Saha,Sandeep Sharma,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.5,WP Saha,Sandeep Sharma,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
0.6,WP Saha,Sandeep Sharma,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.1,Shubman Gill,K Rabada,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.2,Shubman Gill,K Rabada,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.3,Shubman Gill,K Rabada,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.4,Shubman Gill,K Rabada,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.5,Shubman Gill,K Rabada,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
1.6,WP Saha,K Rabada,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Navi Mumbai,2022-05-03,male,T20,0,Punjab Kings,wickets,8,0,0,0,0,K Rabada,20,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,"Dr DY Patil Sports Academy, Mumbai"
