delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WP Saha,S Kaul,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
0.2,WP Saha,S Kaul,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
0.3,WP Saha,S Kaul,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
0.4,WP Saha,S Kaul,0,Shubman Gill,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
0.5,WP Saha,S Kaul,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
0.6,WP Saha,S Kaul,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
1.1,Shubman Gill,Shahbaz Ahmed,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
1.2,WP Saha,Shahbaz Ahmed,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
1.3,WP Saha,Shahbaz Ahmed,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
1.4,WP Saha,Shahbaz Ahmed,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
1.5,Shubman Gill,Shahbaz Ahmed,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
1.6,Shubman Gill,Shahbaz Ahmed,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
2.1,WP Saha,JR Hazlewood,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
2.2,WP Saha,JR Hazlewood,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
2.3,Shubman Gill,JR Hazlewood,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'Shubman Gill', 'fielders': ['GJ Maxwell'], 'kind': 'caught'}",0.0,0,0.0,0.0,0,caught,Shubman Gill,['GJ Maxwell'],0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
2.4,MS Wade,JR Hazlewood,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
2.5,MS Wade,JR Hazlewood,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
2.6,MS Wade,JR Hazlewood,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Mumbai,2022-05-19,male,T20,0,Royal Challengers Bangalore,wickets,8,0,0,0,0,V Kohli,20,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,"Wankhede Stadium, Mumbai"
