delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WP Saha,Swapnil Singh,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
0.2,WP Saha,Swapnil Singh,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
0.3,WP Saha,Swapnil Singh,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
0.4,Shubman Gill,Swapnil Singh,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
0.5,Shubman Gill,Swapnil Singh,0,WP Saha,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
0.6,WP Saha,Swapnil Singh,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'WP Saha', 'fielders': ['KV Sharma'], 'kind': 'caught'}",0.0,0.0,0.0,0.0,0,caught,WP Saha,['KV Sharma'],0,0,0,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
1.1,Shubman Gill,Mohammed Siraj,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
1.2,Shubman Gill,Mohammed Siraj,0,B Sai Sudharsan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
1.3,Shubman Gill,Mohammed Siraj,0,B Sai Sudharsan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
1.4,Shubman Gill,Mohammed Siraj,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2024-04-28,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,WG Jacks,20,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Narendra Modi Stadium, Ahmedabad"
