delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,WP Saha,B Kumar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
0.2,WP Saha,B Kumar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
0.3,WP Saha,B Kumar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'WP Saha', 'fielders': ['Abhishek Sharma'], 'kind': 'caught'}",0.0,0.0,0.0,0.0,0,caught,WP Saha,['Abhishek Sharma'],0,0,0,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
0.4,B Sai Sudharsan,B Kumar,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
0.5,Shubman Gill,B Kumar,0,B Sai Sudharsan,"{'extras': 0, 'total': 3, 'batsman': 3}",0,0.0,0.0,0.0,0.0,0,0,0,0,3,0,3,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
0.6,B Sai Sudharsan,B Kumar,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.1,B Sai Sudharsan,M Jansen,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.2,B Sai Sudharsan,M Jansen,{'wides': 1},Shubman Gill,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.3,B Sai Sudharsan,M Jansen,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.4,B Sai Sudharsan,M Jansen,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.5,B Sai Sudharsan,M Jansen,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.6,B Sai Sudharsan,M Jansen,{'noballs': 1},Shubman Gill,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.7,B Sai Sudharsan,M Jansen,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.8,B Sai Sudharsan,M Jansen,{'wides': 1},Shubman Gill,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
1.9,B Sai Sudharsan,M Jansen,{'wides': 5},Shubman Gill,"{'extras': 5, 'total': 5, 'batsman': 0}",0,5.0,0.0,0.0,0.0,0,0,0,0,0,5,5,Gujarat Titans,Ahmedabad,2023-05-15,male,T20,0,Gujarat Titans,runs,34,0,0,0,0,Shubman Gill,20,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad"
