delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KL Rahul,DL Chahar,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
0.2,KL Rahul,DL Chahar,0,CH Gayle,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
0.3,KL Rahul,DL Chahar,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
0.4,KL Rahul,DL Chahar,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
0.5,KL Rahul,DL Chahar,0,CH Gayle,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
0.6,KL Rahul,DL Chahar,{'wides': 1},CH Gayle,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,1,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
0.7,KL Rahul,DL Chahar,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
1.1,CH Gayle,L Ngidi,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
1.2,CH Gayle,L Ngidi,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'CH Gayle', 'fielders': ['MS Dhoni'], 'kind': 'caught'}",0.0,0.0,0.0,0.0,0,caught,CH Gayle,['MS Dhoni'],0,0,0,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
1.3,AJ Finch,L Ngidi,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Pune,2018-05-20,male,T20,0,Chennai Super Kings,wickets,5,0,0,0,0,L Ngidi,20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium
