delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KL Rahul,I Sharma,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
0.2,CH Gayle,I Sharma,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
0.3,KL Rahul,I Sharma,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
0.4,KL Rahul,I Sharma,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
0.5,KL Rahul,I Sharma,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
0.6,KL Rahul,I Sharma,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
1.1,KL Rahul,S Lamichhane,0,CH Gayle,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
1.2,KL Rahul,S Lamichhane,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
1.3,KL Rahul,S Lamichhane,0,CH Gayle,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
1.4,KL Rahul,S Lamichhane,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'KL Rahul', 'fielders': ['RR Pant'], 'kind': 'stumped'}",0.0,0.0,0.0,0.0,0,stumped,KL Rahul,['RR Pant'],0,0,0,Kings XI Punjab,Delhi,2019-04-20,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,SS Iyer,20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium
