delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KL Rahul,TA Boult,0,AJ Finch,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
0.2,KL Rahul,TA Boult,0,AJ Finch,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
0.3,AJ Finch,TA Boult,{'legbyes': 1},KL Rahul,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
0.4,KL Rahul,TA Boult,0,AJ Finch,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
0.5,AJ Finch,TA Boult,0,KL Rahul,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
0.6,AJ Finch,TA Boult,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
1.1,KL Rahul,Avesh Khan,0,AJ Finch,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
1.2,KL Rahul,Avesh Khan,0,AJ Finch,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
1.3,AJ Finch,Avesh Khan,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'AJ Finch', 'fielders': ['SS Iyer'], 'kind': 'caught'}",0.0,0,0.0,0.0,0,caught,AJ Finch,['SS Iyer'],0,0,0,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
1.4,MA Agarwal,Avesh Khan,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
1.5,KL Rahul,Avesh Khan,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Delhi,2018-04-23,male,T20,0,Kings XI Punjab,runs,4,0,0,0,0,AS Rajpoot,20,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Arun Jaitley Stadium
