delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CH Gayle,S Sandeep Warrier,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
0.2,CH Gayle,S Sandeep Warrier,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
0.3,KL Rahul,S Sandeep Warrier,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
0.4,KL Rahul,S Sandeep Warrier,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
0.5,CH Gayle,S Sandeep Warrier,0,KL Rahul,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
0.6,CH Gayle,S Sandeep Warrier,0,KL Rahul,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
1.1,KL Rahul,HF Gurney,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
1.2,KL Rahul,HF Gurney,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
1.3,CH Gayle,HF Gurney,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
1.4,CH Gayle,HF Gurney,0,KL Rahul,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
1.5,CH Gayle,HF Gurney,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
1.6,CH Gayle,HF Gurney,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
2.1,KL Rahul,S Sandeep Warrier,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
2.2,KL Rahul,S Sandeep Warrier,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
2.3,KL Rahul,S Sandeep Warrier,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'KL Rahul', 'fielders': ['CA Lynn'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,KL Rahul,['CA Lynn'],0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
2.4,MA Agarwal,S Sandeep Warrier,0,CH Gayle,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
2.5,MA Agarwal,S Sandeep Warrier,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
2.6,CH Gayle,S Sandeep Warrier,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
3.1,CH Gayle,SP Narine,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
3.2,MA Agarwal,SP Narine,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
3.3,MA Agarwal,SP Narine,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
3.4,CH Gayle,SP Narine,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
3.5,CH Gayle,SP Narine,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
3.6,CH Gayle,SP Narine,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
4.1,CH Gayle,S Sandeep Warrier,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'CH Gayle', 'fielders': ['Shubman Gill'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,CH Gayle,['Shubman Gill'],0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
4.2,N Pooran,S Sandeep Warrier,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
4.3,N Pooran,S Sandeep Warrier,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
4.4,N Pooran,S Sandeep Warrier,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
4.5,N Pooran,S Sandeep Warrier,0,MA Agarwal,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
4.6,N Pooran,S Sandeep Warrier,0,MA Agarwal,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
5.1,MA Agarwal,HF Gurney,0,N Pooran,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
5.2,MA Agarwal,HF Gurney,0,N Pooran,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
5.3,N Pooran,HF Gurney,0,MA Agarwal,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
5.4,N Pooran,HF Gurney,0,MA Agarwal,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
5.5,N Pooran,HF Gurney,0,MA Agarwal,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
5.6,N Pooran,HF Gurney,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
6.1,MA Agarwal,AD Russell,0,N Pooran,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
6.2,N Pooran,AD Russell,0,MA Agarwal,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
6.3,N Pooran,AD Russell,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
6.4,N Pooran,AD Russell,0,MA Agarwal,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
6.5,N Pooran,AD Russell,{'wides': 1},MA Agarwal,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
6.6,N Pooran,AD Russell,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
6.7,N Pooran,AD Russell,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
7.1,N Pooran,PP Chawla,0,MA Agarwal,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
7.2,N Pooran,PP Chawla,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
7.3,MA Agarwal,PP Chawla,0,N Pooran,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-05-03,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium
