delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KL Rahul,MJ McClenaghan,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
0.2,KL Rahul,MJ McClenaghan,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
0.3,CH Gayle,MJ McClenaghan,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
0.4,CH Gayle,MJ McClenaghan,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
0.5,KL Rahul,MJ McClenaghan,0,CH Gayle,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
0.6,KL Rahul,MJ McClenaghan,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
1.1,KL Rahul,JJ Bumrah,0,CH Gayle,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
1.2,KL Rahul,JJ Bumrah,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
1.3,CH Gayle,JJ Bumrah,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
1.4,CH Gayle,JJ Bumrah,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
1.5,CH Gayle,JJ Bumrah,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
1.6,CH Gayle,JJ Bumrah,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kings XI Punjab,Indore,2018-05-04,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,SA Yadav,20,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Holkar Cricket Stadium
