delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KL Rahul,DS Kulkarni,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
0.2,KL Rahul,DS Kulkarni,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
0.3,CH Gayle,DS Kulkarni,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
0.4,CH Gayle,DS Kulkarni,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
0.5,CH Gayle,DS Kulkarni,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
0.6,KL Rahul,DS Kulkarni,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
1.1,CH Gayle,JD Unadkat,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
1.2,CH Gayle,JD Unadkat,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
1.3,CH Gayle,JD Unadkat,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
1.4,CH Gayle,JD Unadkat,0,KL Rahul,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
1.5,CH Gayle,JD Unadkat,0,KL Rahul,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
1.6,CH Gayle,JD Unadkat,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
2.1,KL Rahul,DS Kulkarni,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
2.2,KL Rahul,DS Kulkarni,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
2.3,KL Rahul,DS Kulkarni,0,CH Gayle,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,Chandigarh,2019-04-16,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,R Ashwin,20,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Punjab Cricket Association IS Bindra Stadium
