delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KL Rahul,Sandeep Sharma,0,Mandeep Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
0.2,KL Rahul,Sandeep Sharma,0,Mandeep Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
0.3,Mandeep Singh,Sandeep Sharma,0,KL Rahul,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
0.4,Mandeep Singh,Sandeep Sharma,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
0.5,Mandeep Singh,Sandeep Sharma,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
0.6,KL Rahul,Sandeep Sharma,0,Mandeep Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
1.1,KL Rahul,KK Ahmed,0,Mandeep Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
1.2,KL Rahul,KK Ahmed,0,Mandeep Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
1.3,KL Rahul,KK Ahmed,0,Mandeep Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
1.4,KL Rahul,KK Ahmed,0,Mandeep Singh,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
1.5,KL Rahul,KK Ahmed,0,Mandeep Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kings XI Punjab,0,2020-10-24,male,T20,0,Kings XI Punjab,runs,12,0,0,0,0,CJ Jordan,20,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium
