delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RA Tripathi,DL Chahar,{'wides': 1},Shubman Gill,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
0.2,RA Tripathi,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
0.3,RA Tripathi,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
0.4,RA Tripathi,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
0.5,Shubman Gill,DL Chahar,0,RA Tripathi,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
0.6,Shubman Gill,DL Chahar,0,RA Tripathi,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
0.7,RA Tripathi,DL Chahar,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
1.1,Shubman Gill,SM Curran,0,RA Tripathi,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
1.2,Shubman Gill,SM Curran,0,RA Tripathi,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
1.3,RA Tripathi,SM Curran,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
1.4,RA Tripathi,SM Curran,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Abu Dhabi,2020-10-07,male,T20,0,Kolkata Knight Riders,runs,10,0,0,0,0,RA Tripathi,20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium
