delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CA Lynn,TA Boult,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
0.2,CA Lynn,TA Boult,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
0.3,CA Lynn,TA Boult,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
0.4,CA Lynn,TA Boult,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
0.5,CA Lynn,TA Boult,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
0.6,CA Lynn,TA Boult,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
1.1,SP Narine,CH Morris,0,CA Lynn,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
1.2,CA Lynn,CH Morris,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
1.3,CA Lynn,CH Morris,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
1.4,CA Lynn,CH Morris,0,SP Narine,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Kolkata Knight Riders,Kolkata,2018-04-16,male,T20,0,Kolkata Knight Riders,runs,71,0,0,0,0,N Rana,20,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens
