delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,CA Lynn,MM Sharma,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.2,CA Lynn,MM Sharma,0,SP Narine,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.3,CA Lynn,MM Sharma,0,SP Narine,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.4,CA Lynn,MM Sharma,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.5,CA Lynn,MM Sharma,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.6,CA Lynn,MM Sharma,0,SP Narine,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
1.1,CA Lynn,Mujeeb Ur Rahman,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
1.2,CA Lynn,Mujeeb Ur Rahman,0,SP Narine,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
1.3,SP Narine,Mujeeb Ur Rahman,0,CA Lynn,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
1.4,SP Narine,Mujeeb Ur Rahman,0,CA Lynn,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Indore,2018-05-12,male,T20,0,Kolkata Knight Riders,runs,31,0,0,0,0,SP Narine,20,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
