delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PD Salt,N Thushara,0,SP Narine,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
0.2,PD Salt,N Thushara,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
0.3,PD Salt,N Thushara,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
0.4,PD Salt,N Thushara,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
0.5,PD Salt,N Thushara,0,SP Narine,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PD Salt', 'fielders': ['A Kamboj'], 'kind': 'caught'}",0.0,0.0,0.0,0.0,0,caught,PD Salt,['A Kamboj'],0,0,0,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
0.6,VR Iyer,N Thushara,0,SP Narine,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
1.1,SP Narine,JJ Bumrah,0,VR Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'SP Narine', 'kind': 'bowled'}",0.0,0.0,0.0,0.0,0,bowled,SP Narine,0,0,0,0,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
1.2,SS Iyer,JJ Bumrah,0,VR Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
1.3,SS Iyer,JJ Bumrah,0,VR Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
1.4,SS Iyer,JJ Bumrah,0,VR Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
1.5,SS Iyer,JJ Bumrah,{'legbyes': 1},VR Iyer,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
1.6,VR Iyer,JJ Bumrah,0,SS Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Kolkata,2024-05-11,male,T20,0,Kolkata Knight Riders,runs,18,0,0,0,0,CV Varun,20,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,"Eden Gardens, Kolkata"
