delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,VR Iyer,FA Allen,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.2,VR Iyer,FA Allen,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.3,VR Iyer,FA Allen,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.4,VR Iyer,FA Allen,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.5,Shubman Gill,FA Allen,0,VR Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.6,VR Iyer,FA Allen,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.1,Shubman Gill,Mohammed Shami,0,VR Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.2,VR Iyer,Mohammed Shami,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.3,VR Iyer,Mohammed Shami,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.4,Shubman Gill,Mohammed Shami,0,VR Iyer,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.5,Shubman Gill,Mohammed Shami,0,VR Iyer,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.6,Shubman Gill,Mohammed Shami,0,VR Iyer,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Dubai,2021-10-01,male,T20,0,Punjab Kings,wickets,5,0,0,0,0,KL Rahul,20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
