delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KL Rahul,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'KL Rahul', 'fielders': ['MS Wade'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,KL Rahul,['MS Wade'],0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
0.2,E Lewis,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
0.3,Q de Kock,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
0.4,Q de Kock,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
0.5,E Lewis,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
0.6,E Lewis,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
1.1,Q de Kock,VR Aaron,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
1.2,Q de Kock,VR Aaron,0,E Lewis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
1.3,E Lewis,VR Aaron,0,Q de Kock,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
1.4,E Lewis,VR Aaron,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
1.5,Q de Kock,VR Aaron,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
1.6,Q de Kock,VR Aaron,0,E Lewis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
2.1,Q de Kock,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
2.2,Q de Kock,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
2.3,Q de Kock,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'Q de Kock', 'kind': 'bowled'}",0.0,0,0.0,0,0,bowled,Q de Kock,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
2.4,MK Pandey,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
2.5,E Lewis,Mohammed Shami,0,MK Pandey,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
2.6,E Lewis,Mohammed Shami,0,MK Pandey,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
3.1,MK Pandey,VR Aaron,{'wides': 1},E Lewis,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
3.2,MK Pandey,VR Aaron,0,E Lewis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
3.3,E Lewis,VR Aaron,0,MK Pandey,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
3.4,E Lewis,VR Aaron,0,MK Pandey,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'E Lewis', 'fielders': ['Shubman Gill'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,E Lewis,['Shubman Gill'],0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
3.5,DJ Hooda,VR Aaron,0,MK Pandey,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
3.6,MK Pandey,VR Aaron,0,DJ Hooda,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
3.7,MK Pandey,VR Aaron,{'wides': 1},DJ Hooda,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
3.8,MK Pandey,VR Aaron,0,DJ Hooda,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
4.1,DJ Hooda,Mohammed Shami,0,MK Pandey,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
4.2,DJ Hooda,Mohammed Shami,0,MK Pandey,"{'extras': 0, 'total': 3, 'batsman': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
4.3,MK Pandey,Mohammed Shami,0,DJ Hooda,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'MK Pandey', 'kind': 'bowled'}",0.0,0,0.0,0,0,bowled,MK Pandey,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
4.4,A Badoni,Mohammed Shami,0,DJ Hooda,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
4.5,A Badoni,Mohammed Shami,0,DJ Hooda,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
4.6,A Badoni,Mohammed Shami,0,DJ Hooda,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
5.1,DJ Hooda,LH Ferguson,0,A Badoni,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
5.2,DJ Hooda,LH Ferguson,0,A Badoni,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
5.3,DJ Hooda,LH Ferguson,0,A Badoni,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
5.4,A Badoni,LH Ferguson,0,DJ Hooda,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
5.5,A Badoni,LH Ferguson,{'wides': 1},DJ Hooda,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
5.6,A Badoni,LH Ferguson,0,DJ Hooda,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
5.7,DJ Hooda,LH Ferguson,0,A Badoni,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
6.1,A Badoni,HH Pandya,0,DJ Hooda,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
6.2,A Badoni,HH Pandya,0,DJ Hooda,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
6.3,DJ Hooda,HH Pandya,0,A Badoni,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
6.4,DJ Hooda,HH Pandya,0,A Badoni,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
6.5,DJ Hooda,HH Pandya,0,A Badoni,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
6.6,DJ Hooda,HH Pandya,0,A Badoni,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
7.1,A Badoni,LH Ferguson,0,DJ Hooda,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
7.2,A Badoni,LH Ferguson,0,DJ Hooda,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Lucknow Super Giants,Mumbai,2022-03-28,male,T20,0,Gujarat Titans,wickets,5,0,0,0,0,Mohammed Shami,20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai"
