delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Q de Kock,SM Curran,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.2,Q de Kock,SM Curran,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.3,Q de Kock,SM Curran,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.4,Q de Kock,SM Curran,0,KL Rahul,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.5,Q de Kock,SM Curran,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.6,KL Rahul,SM Curran,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.1,Q de Kock,Arshdeep Singh,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.2,KL Rahul,Arshdeep Singh,{'wides': 1},Q de Kock,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.3,KL Rahul,Arshdeep Singh,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.4,Q de Kock,Arshdeep Singh,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.5,Q de Kock,Arshdeep Singh,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.6,KL Rahul,Arshdeep Singh,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.7,Q de Kock,Arshdeep Singh,0,KL Rahul,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.1,KL Rahul,K Rabada,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.2,Q de Kock,K Rabada,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.3,Q de Kock,K Rabada,0,KL Rahul,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Lucknow Super Giants,Lucknow,2024-03-30,male,T20,0,Lucknow Super Giants,runs,21,0,0,0,0,MP Yadav,20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
