delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RG Sharma,A Nortje,0,Q de Kock,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
0.2,RG Sharma,A Nortje,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
0.3,RG Sharma,A Nortje,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
0.4,RG Sharma,A Nortje,0,Q de Kock,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
0.5,RG Sharma,A Nortje,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
0.6,Q de Kock,A Nortje,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
1.1,RG Sharma,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
1.2,RG Sharma,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
1.3,RG Sharma,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
1.4,RG Sharma,Avesh Khan,{'wides': 1},Q de Kock,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
1.5,RG Sharma,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
1.6,RG Sharma,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'RG Sharma', 'fielders': ['K Rabada'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,RG Sharma,['K Rabada'],0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
1.7,Q de Kock,Avesh Khan,0,SA Yadav,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
2.1,SA Yadav,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
2.2,Q de Kock,R Ashwin,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
2.3,SA Yadav,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
2.4,SA Yadav,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
2.5,SA Yadav,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
2.6,Q de Kock,R Ashwin,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
3.1,SA Yadav,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
3.2,SA Yadav,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
3.3,SA Yadav,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
3.4,SA Yadav,Avesh Khan,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
3.5,Q de Kock,Avesh Khan,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
3.6,Q de Kock,Avesh Khan,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
4.1,Q de Kock,K Rabada,0,SA Yadav,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
4.2,Q de Kock,K Rabada,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
4.3,Q de Kock,K Rabada,0,SA Yadav,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
4.4,Q de Kock,K Rabada,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
4.5,Q de Kock,K Rabada,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
4.6,SA Yadav,K Rabada,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
5.1,Q de Kock,A Nortje,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
5.2,Q de Kock,A Nortje,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
5.3,SA Yadav,A Nortje,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
5.4,Q de Kock,A Nortje,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
5.5,Q de Kock,A Nortje,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
5.6,Q de Kock,A Nortje,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
6.1,Q de Kock,AR Patel,0,SA Yadav,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
6.2,Q de Kock,AR Patel,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'Q de Kock', 'fielders': ['A Nortje'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,Q de Kock,['A Nortje'],0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
6.3,SS Tiwary,AR Patel,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
6.4,SA Yadav,AR Patel,0,SS Tiwary,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
6.5,SA Yadav,AR Patel,0,SS Tiwary,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
6.6,SS Tiwary,AR Patel,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
7.1,SS Tiwary,R Ashwin,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
7.2,SA Yadav,R Ashwin,0,SS Tiwary,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
7.3,SA Yadav,R Ashwin,0,SS Tiwary,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
7.4,SS Tiwary,R Ashwin,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
7.5,SA Yadav,R Ashwin,0,SS Tiwary,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
7.6,SA Yadav,R Ashwin,0,SS Tiwary,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
8.1,SA Yadav,AR Patel,0,SS Tiwary,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
8.2,SA Yadav,AR Patel,0,SS Tiwary,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
8.3,SS Tiwary,AR Patel,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
8.4,SA Yadav,AR Patel,0,SS Tiwary,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
8.5,SS Tiwary,AR Patel,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
8.6,SA Yadav,AR Patel,0,SS Tiwary,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
9.1,SA Yadav,K Rabada,0,SS Tiwary,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
9.2,SS Tiwary,K Rabada,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Sharjah,2021-10-02,male,T20,0,Delhi Capitals,wickets,4,0,0,0,0,AR Patel,20,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium
