delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,SA Yadav,TA Boult,0,E Lewis,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
0.2,SA Yadav,TA Boult,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
0.3,SA Yadav,TA Boult,0,E Lewis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
0.4,SA Yadav,TA Boult,0,E Lewis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
0.5,E Lewis,TA Boult,0,SA Yadav,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
0.6,E Lewis,TA Boult,{'legbyes': 4},SA Yadav,"{'extras': 4, 'total': 4, 'batsman': 0}",0,0.0,0,4.0,0,0,0,0,0,0,4,4,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
1.1,SA Yadav,S Nadeem,0,E Lewis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
1.2,SA Yadav,S Nadeem,0,E Lewis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
1.3,E Lewis,S Nadeem,{'wides': 1},SA Yadav,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
1.4,E Lewis,S Nadeem,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
1.5,SA Yadav,S Nadeem,0,E Lewis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
1.6,E Lewis,S Nadeem,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
1.7,E Lewis,S Nadeem,0,SA Yadav,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Mumbai Indians,Mumbai,2018-04-14,male,T20,0,Delhi Daredevils,wickets,7,0,0,0,0,JJ Roy,20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium
