delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RG Sharma,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.2,Q de Kock,R Ashwin,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.3,Q de Kock,R Ashwin,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.4,RG Sharma,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.5,RG Sharma,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
0.6,Q de Kock,R Ashwin,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.1,RG Sharma,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.2,RG Sharma,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.3,RG Sharma,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.4,Q de Kock,Mohammed Shami,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.5,RG Sharma,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
1.6,RG Sharma,Mohammed Shami,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.1,RG Sharma,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.2,RG Sharma,R Ashwin,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.3,Q de Kock,R Ashwin,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
2.4,Q de Kock,R Ashwin,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Chandigarh,2019-03-30,male,T20,0,Kings XI Punjab,wickets,8,0,0,0,0,MA Agarwal,20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Punjab Cricket Association IS Bindra Stadium
