delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RG Sharma,UT Yadav,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
0.2,RG Sharma,UT Yadav,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
0.3,RG Sharma,UT Yadav,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
0.4,RG Sharma,UT Yadav,0,Ishan Kishan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
0.5,Ishan Kishan,UT Yadav,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
0.6,Ishan Kishan,UT Yadav,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
1.1,RG Sharma,Rasikh Salam,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
1.2,RG Sharma,Rasikh Salam,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
1.3,RG Sharma,Rasikh Salam,0,Ishan Kishan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
1.4,Ishan Kishan,Rasikh Salam,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Pune,2022-04-06,male,T20,0,Kolkata Knight Riders,wickets,5,0,0,0,0,PJ Cummins,20,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,"Maharashtra Cricket Association Stadium, Pune"
