delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Ishan Kishan,KH Pandya,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
0.2,Ishan Kishan,KH Pandya,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
0.3,RG Sharma,KH Pandya,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
0.4,RG Sharma,KH Pandya,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
0.5,RG Sharma,KH Pandya,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
0.6,RG Sharma,KH Pandya,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
1.1,Ishan Kishan,K Gowtham,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
1.2,Ishan Kishan,K Gowtham,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
1.3,Ishan Kishan,K Gowtham,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
1.4,Ishan Kishan,K Gowtham,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Chennai,2023-05-24,male,T20,0,Mumbai Indians,runs,81,0,0,0,0,Akash Madhwal,20,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk, Chennai"
