delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RG Sharma,TA Boult,0,Ishan Kishan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
0.2,RG Sharma,TA Boult,0,Ishan Kishan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
0.3,RG Sharma,TA Boult,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
0.4,RG Sharma,TA Boult,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
0.5,RG Sharma,TA Boult,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'RG Sharma', 'fielders': ['SV Samson'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,RG Sharma,['SV Samson'],0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
0.6,SA Yadav,TA Boult,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
1.1,Ishan Kishan,Sandeep Sharma,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
1.2,Ishan Kishan,Sandeep Sharma,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
1.3,Ishan Kishan,Sandeep Sharma,0,SA Yadav,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'Ishan Kishan', 'fielders': ['SV Samson'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,Ishan Kishan,['SV Samson'],0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
1.4,Tilak Varma,Sandeep Sharma,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
1.5,SA Yadav,Sandeep Sharma,0,Tilak Varma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
1.6,Tilak Varma,Sandeep Sharma,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
2.1,Tilak Varma,TA Boult,{'wides': 1},SA Yadav,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
2.2,Tilak Varma,TA Boult,0,SA Yadav,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
2.3,SA Yadav,TA Boult,0,Tilak Varma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
2.4,SA Yadav,TA Boult,0,Tilak Varma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
2.5,SA Yadav,TA Boult,0,Tilak Varma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
2.6,SA Yadav,TA Boult,0,Tilak Varma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
2.7,SA Yadav,TA Boult,0,Tilak Varma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
3.1,SA Yadav,Sandeep Sharma,0,Tilak Varma,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'SA Yadav', 'fielders': ['R Powell'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,SA Yadav,['R Powell'],0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
3.2,Mohammad Nabi,Sandeep Sharma,0,Tilak Varma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
3.3,Mohammad Nabi,Sandeep Sharma,0,Tilak Varma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
3.4,Mohammad Nabi,Sandeep Sharma,0,Tilak Varma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
3.5,Mohammad Nabi,Sandeep Sharma,0,Tilak Varma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Mumbai Indians,Jaipur,2024-04-22,male,T20,0,Rajasthan Royals,wickets,9,0,0,0,0,Sandeep Sharma,20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,"Sawai Mansingh Stadium, Jaipur"
