delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,Q de Kock,UT Yadav,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.2,Q de Kock,UT Yadav,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.3,RG Sharma,UT Yadav,0,Q de Kock,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.4,RG Sharma,UT Yadav,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.5,RG Sharma,UT Yadav,0,Q de Kock,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
0.6,RG Sharma,UT Yadav,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.1,Q de Kock,NA Saini,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.2,Q de Kock,NA Saini,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.3,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.4,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.5,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
1.6,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
2.1,Q de Kock,UT Yadav,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
2.2,RG Sharma,UT Yadav,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
2.3,RG Sharma,UT Yadav,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
2.4,RG Sharma,UT Yadav,0,Q de Kock,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
2.5,Q de Kock,UT Yadav,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
2.6,Q de Kock,UT Yadav,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
3.1,Q de Kock,NA Saini,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
3.2,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
3.3,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
3.4,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
3.5,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
3.6,RG Sharma,NA Saini,0,Q de Kock,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
4.1,Q de Kock,Mohammed Siraj,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
4.2,Q de Kock,Mohammed Siraj,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
4.3,Q de Kock,Mohammed Siraj,0,RG Sharma,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Mumbai Indians,Bengaluru,2019-03-28,male,T20,0,Mumbai Indians,runs,6,0,0,0,0,JJ Bumrah,20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M.Chinnaswamy Stadium
