delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,RG Sharma,Mohammad Nabi,0,Ishan Kishan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
0.2,Ishan Kishan,Mohammad Nabi,0,RG Sharma,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
0.3,Ishan Kishan,Mohammad Nabi,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
0.4,Ishan Kishan,Mohammad Nabi,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
0.5,RG Sharma,Mohammad Nabi,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
0.6,RG Sharma,Mohammad Nabi,0,Ishan Kishan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
1.1,Ishan Kishan,S Kaul,0,RG Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
1.2,Ishan Kishan,S Kaul,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
1.3,Ishan Kishan,S Kaul,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
1.4,Ishan Kishan,S Kaul,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
1.5,Ishan Kishan,S Kaul,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
1.6,Ishan Kishan,S Kaul,0,RG Sharma,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
2.1,RG Sharma,Mohammad Nabi,0,Ishan Kishan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
2.2,RG Sharma,Mohammad Nabi,0,Ishan Kishan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
2.3,Ishan Kishan,Mohammad Nabi,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
2.4,Ishan Kishan,Mohammad Nabi,0,RG Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
2.5,RG Sharma,Mohammad Nabi,0,Ishan Kishan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
2.6,Ishan Kishan,Mohammad Nabi,0,RG Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
3.1,RG Sharma,JO Holder,0,Ishan Kishan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
3.2,RG Sharma,JO Holder,0,Ishan Kishan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
3.3,Ishan Kishan,JO Holder,0,RG Sharma,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
3.4,Ishan Kishan,JO Holder,0,RG Sharma,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Mumbai Indians,Abu Dhabi,2021-10-08,male,T20,0,Mumbai Indians,runs,42,0,0,0,0,Ishan Kishan,20,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,"Zayed Cricket Stadium, Abu Dhabi"
