delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MA Agarwal,Mukesh Choudhary,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
0.2,MA Agarwal,Mukesh Choudhary,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'MA Agarwal', 'fielders': ['RV Uthappa'], 'kind': 'caught'}",0.0,0.0,0.0,0,0,caught,MA Agarwal,['RV Uthappa'],0,0,0,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
0.3,PBB Rajapaksa,Mukesh Choudhary,{'wides': 1},S Dhawan,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
0.4,PBB Rajapaksa,Mukesh Choudhary,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
0.5,PBB Rajapaksa,Mukesh Choudhary,0,S Dhawan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
0.6,PBB Rajapaksa,Mukesh Choudhary,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
0.7,S Dhawan,Mukesh Choudhary,0,PBB Rajapaksa,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
1.1,PBB Rajapaksa,CJ Jordan,0,S Dhawan,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
1.2,PBB Rajapaksa,CJ Jordan,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PBB Rajapaksa', 'fielders': ['MS Dhoni', 'CJ Jordan'], 'kind': 'run out'}",0.0,0.0,0.0,0,0,run out,PBB Rajapaksa,"['MS Dhoni', 'CJ Jordan']",0,0,0,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
1.3,LS Livingstone,CJ Jordan,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mumbai,2022-04-03,male,T20,0,Punjab Kings,runs,54,0,0,0,0,LS Livingstone,20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Brabourne Stadium, Mumbai"
