delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MA Agarwal,SN Thakur,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
0.2,MA Agarwal,SN Thakur,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
0.3,MA Agarwal,SN Thakur,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
0.4,MA Agarwal,SN Thakur,0,S Dhawan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
0.5,MA Agarwal,SN Thakur,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
0.6,S Dhawan,SN Thakur,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
1.1,MA Agarwal,KK Ahmed,{'wides': 1},S Dhawan,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
1.2,MA Agarwal,KK Ahmed,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
1.3,S Dhawan,KK Ahmed,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
1.4,S Dhawan,KK Ahmed,0,MA Agarwal,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
1.5,S Dhawan,KK Ahmed,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
1.6,S Dhawan,KK Ahmed,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
1.7,MA Agarwal,KK Ahmed,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
2.1,MA Agarwal,SN Thakur,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Mumbai,2022-04-20,male,T20,0,Delhi Capitals,wickets,9,0,0,0,0,Kuldeep Yadav,20,Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Brabourne Stadium, Mumbai"
