delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,SM Curran,Azmatullah Omarzai,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
0.2,SM Curran,Azmatullah Omarzai,0,P Simran Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
0.3,P Simran Singh,Azmatullah Omarzai,0,SM Curran,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
0.4,P Simran Singh,Azmatullah Omarzai,0,SM Curran,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
0.5,P Simran Singh,Azmatullah Omarzai,0,SM Curran,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
0.6,P Simran Singh,Azmatullah Omarzai,0,SM Curran,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1.1,P Simran Singh,S Sandeep Warrier,0,SM Curran,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1.2,P Simran Singh,S Sandeep Warrier,0,SM Curran,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1.3,P Simran Singh,S Sandeep Warrier,0,SM Curran,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1.4,P Simran Singh,S Sandeep Warrier,0,SM Curran,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1.5,P Simran Singh,S Sandeep Warrier,0,SM Curran,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1.6,P Simran Singh,S Sandeep Warrier,{'noballs': 1},SM Curran,"{'extras': 1, 'total': 7, 'batsman': 6}",0,0.0,1.0,0.0,0,0,0,0,0,6,1,7,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1.7,P Simran Singh,S Sandeep Warrier,0,SM Curran,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
2.1,SM Curran,Azmatullah Omarzai,0,P Simran Singh,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
2.2,SM Curran,Azmatullah Omarzai,0,P Simran Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
2.3,P Simran Singh,Azmatullah Omarzai,0,SM Curran,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
2.4,P Simran Singh,Azmatullah Omarzai,0,SM Curran,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Punjab Kings,Mohali,2024-04-21,male,T20,0,Gujarat Titans,wickets,3,0,0,0,0,R Sai Kishore,20,Punjab Kings,Gujarat Titans,Punjab Kings,bat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
