delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MA Agarwal,Basil Thampi,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
0.2,MA Agarwal,Basil Thampi,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
0.3,MA Agarwal,Basil Thampi,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
0.4,MA Agarwal,Basil Thampi,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
0.5,S Dhawan,Basil Thampi,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
0.6,S Dhawan,Basil Thampi,{'legbyes': 1},MA Agarwal,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
1.1,S Dhawan,JD Unadkat,0,MA Agarwal,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
1.2,S Dhawan,JD Unadkat,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
1.3,MA Agarwal,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
1.4,MA Agarwal,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
1.5,MA Agarwal,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
1.6,MA Agarwal,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
2.1,S Dhawan,JJ Bumrah,{'legbyes': 4},MA Agarwal,"{'extras': 4, 'total': 4, 'batsman': 0}",0,0.0,0.0,4.0,0,0,0,0,0,0,4,4,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
2.2,S Dhawan,JJ Bumrah,{'wides': 1},MA Agarwal,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
2.3,S Dhawan,JJ Bumrah,{'wides': 1},MA Agarwal,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
2.4,S Dhawan,JJ Bumrah,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
2.5,MA Agarwal,JJ Bumrah,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
2.6,S Dhawan,JJ Bumrah,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
2.7,S Dhawan,JJ Bumrah,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
2.8,MA Agarwal,JJ Bumrah,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
3.1,S Dhawan,JD Unadkat,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
3.2,MA Agarwal,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
3.3,MA Agarwal,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
3.4,MA Agarwal,JD Unadkat,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
3.5,S Dhawan,JD Unadkat,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
3.6,S Dhawan,JD Unadkat,0,MA Agarwal,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
4.1,MA Agarwal,M Ashwin,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
4.2,S Dhawan,M Ashwin,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
4.3,MA Agarwal,M Ashwin,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
4.4,MA Agarwal,M Ashwin,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
4.5,MA Agarwal,M Ashwin,0,S Dhawan,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
4.6,MA Agarwal,M Ashwin,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
5.1,MA Agarwal,TS Mills,0,S Dhawan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
5.2,S Dhawan,TS Mills,0,MA Agarwal,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
5.3,S Dhawan,TS Mills,{'wides': 1},MA Agarwal,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
5.4,S Dhawan,TS Mills,0,MA Agarwal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
5.5,S Dhawan,TS Mills,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
5.6,MA Agarwal,TS Mills,{'wides': 1},S Dhawan,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
5.7,MA Agarwal,TS Mills,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
5.8,MA Agarwal,TS Mills,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
6.1,S Dhawan,M Ashwin,0,MA Agarwal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Pune,2022-04-13,male,T20,0,Punjab Kings,runs,12,0,0,0,0,MA Agarwal,20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Maharashtra Cricket Association Stadium, Pune"
