delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,KL Rahul,DR Sams,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
0.2,KL Rahul,DR Sams,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
0.3,KL Rahul,DR Sams,0,P Simran Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
0.4,P Simran Singh,DR Sams,0,KL Rahul,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
0.5,KL Rahul,DR Sams,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
0.6,KL Rahul,DR Sams,0,P Simran Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
1.1,KL Rahul,Mohammed Siraj,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
1.2,KL Rahul,Mohammed Siraj,{'wides': 1},P Simran Singh,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
1.3,KL Rahul,Mohammed Siraj,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
1.4,KL Rahul,Mohammed Siraj,0,P Simran Singh,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
1.5,KL Rahul,Mohammed Siraj,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
1.6,KL Rahul,Mohammed Siraj,0,P Simran Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
1.7,P Simran Singh,Mohammed Siraj,0,KL Rahul,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
2.1,KL Rahul,DR Sams,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
2.2,KL Rahul,DR Sams,0,P Simran Singh,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
2.3,KL Rahul,DR Sams,0,P Simran Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
2.4,P Simran Singh,DR Sams,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
2.5,P Simran Singh,DR Sams,0,KL Rahul,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
2.6,P Simran Singh,DR Sams,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
3.1,KL Rahul,KA Jamieson,0,P Simran Singh,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
3.2,P Simran Singh,KA Jamieson,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
3.3,P Simran Singh,KA Jamieson,0,KL Rahul,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'P Simran Singh', 'fielders': ['V Kohli'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,P Simran Singh,['V Kohli'],0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
3.4,KL Rahul,KA Jamieson,0,CH Gayle,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
3.5,KL Rahul,KA Jamieson,{'wides': 1},CH Gayle,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Punjab Kings,Ahmedabad,2021-04-30,male,T20,0,Punjab Kings,runs,34,0,0,0,0,Harpreet Brar,20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Narendra Modi Stadium, Ahmedabad"
