delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,S Dhawan,Mohammed Siraj,0,JM Bairstow,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.2,S Dhawan,Mohammed Siraj,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.3,S Dhawan,Mohammed Siraj,0,JM Bairstow,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.4,S Dhawan,Mohammed Siraj,0,JM Bairstow,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.5,JM Bairstow,Mohammed Siraj,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
0.6,JM Bairstow,Mohammed Siraj,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.1,S Dhawan,Yash Dayal,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.2,S Dhawan,Yash Dayal,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.3,S Dhawan,Yash Dayal,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.4,S Dhawan,Yash Dayal,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.5,S Dhawan,Yash Dayal,0,JM Bairstow,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
1.6,JM Bairstow,Yash Dayal,{'legbyes': 1},S Dhawan,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
2.1,JM Bairstow,Mohammed Siraj,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
2.2,JM Bairstow,Mohammed Siraj,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
2.3,JM Bairstow,Mohammed Siraj,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'JM Bairstow', 'fielders': ['V Kohli'], 'kind': 'caught'}",0.0,0,0.0,0.0,0,caught,JM Bairstow,['V Kohli'],0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
2.4,P Simran Singh,Mohammed Siraj,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
2.5,P Simran Singh,Mohammed Siraj,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Punjab Kings,Bengaluru,2024-03-25,male,T20,0,Royal Challengers Bengaluru,wickets,4,0,0,0,0,V Kohli,20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"M Chinnaswamy Stadium, Bengaluru"
