delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,YBK Jaiswal,Akash Singh,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.2,YBK Jaiswal,Akash Singh,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.3,YBK Jaiswal,Akash Singh,0,JC Buttler,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.4,YBK Jaiswal,Akash Singh,0,JC Buttler,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.5,YBK Jaiswal,Akash Singh,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.6,YBK Jaiswal,Akash Singh,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.1,JC Buttler,TU Deshpande,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.2,JC Buttler,TU Deshpande,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.3,YBK Jaiswal,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.4,YBK Jaiswal,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'YBK Jaiswal', 'fielders': ['S Dube'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,YBK Jaiswal,['S Dube'],0,0,0,Rajasthan Royals,Chennai,2023-04-12,male,T20,0,Rajasthan Royals,runs,3,0,0,0,0,R Ashwin,20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
