delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AM Rahane,TA Boult,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
0.2,LS Livingstone,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
0.3,AM Rahane,TA Boult,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
0.4,LS Livingstone,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
0.5,LS Livingstone,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
0.6,LS Livingstone,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
1.1,LS Livingstone,I Sharma,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
1.2,LS Livingstone,I Sharma,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
1.3,LS Livingstone,I Sharma,0,AM Rahane,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
1.4,LS Livingstone,I Sharma,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
1.5,AM Rahane,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
1.6,AM Rahane,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'AM Rahane', 'fielders': ['S Dhawan'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,AM Rahane,['S Dhawan'],0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
2.1,SV Samson,TA Boult,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
2.2,LS Livingstone,TA Boult,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
2.3,LS Livingstone,TA Boult,0,SV Samson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
2.4,SV Samson,TA Boult,{'wides': 1},LS Livingstone,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
2.5,SV Samson,TA Boult,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
2.6,SV Samson,TA Boult,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
2.7,SV Samson,TA Boult,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
3.1,SV Samson,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
3.2,SV Samson,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
3.3,LS Livingstone,I Sharma,0,SV Samson,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
3.4,LS Livingstone,I Sharma,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
3.5,LS Livingstone,I Sharma,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'LS Livingstone', 'kind': 'bowled'}",0.0,0,0.0,0,0,bowled,LS Livingstone,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
3.6,MK Lomror,I Sharma,0,SV Samson,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
4.1,SV Samson,AR Patel,0,MK Lomror,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
4.2,SV Samson,AR Patel,0,MK Lomror,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'SV Samson', 'kind': 'run out'}",0.0,0,0.0,0,0,run out,SV Samson,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
4.3,S Gopal,AR Patel,0,MK Lomror,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
4.4,S Gopal,AR Patel,0,MK Lomror,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
4.5,S Gopal,AR Patel,0,MK Lomror,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
4.6,S Gopal,AR Patel,0,MK Lomror,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
5.1,MK Lomror,I Sharma,0,S Gopal,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
5.2,MK Lomror,I Sharma,0,S Gopal,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'MK Lomror', 'fielders': ['RR Pant'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,MK Lomror,['RR Pant'],0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
5.3,R Parag,I Sharma,0,S Gopal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
5.4,R Parag,I Sharma,0,S Gopal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
5.5,R Parag,I Sharma,0,S Gopal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
5.6,R Parag,I Sharma,0,S Gopal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
6.1,S Gopal,AR Patel,0,R Parag,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
6.2,R Parag,AR Patel,0,S Gopal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
6.3,R Parag,AR Patel,0,S Gopal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
6.4,S Gopal,AR Patel,0,R Parag,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
6.5,R Parag,AR Patel,0,S Gopal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
6.6,S Gopal,AR Patel,0,R Parag,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
7.1,S Gopal,A Mishra,0,R Parag,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
7.2,R Parag,A Mishra,0,S Gopal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
7.3,S Gopal,A Mishra,0,R Parag,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
7.4,S Gopal,A Mishra,0,R Parag,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
7.5,R Parag,A Mishra,0,S Gopal,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Delhi,2019-05-04,male,T20,0,Delhi Capitals,wickets,5,0,0,0,0,A Mishra,20,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Arun Jaitley Stadium
