delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,AM Rahane,TA Boult,0,DJM Short,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
0.2,AM Rahane,TA Boult,0,DJM Short,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
0.3,AM Rahane,TA Boult,0,DJM Short,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
0.4,AM Rahane,TA Boult,0,DJM Short,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
0.5,AM Rahane,TA Boult,0,DJM Short,"{'extras': 0, 'total': 3, 'batsman': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
0.6,DJM Short,TA Boult,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
1.1,DJM Short,S Nadeem,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
1.2,DJM Short,S Nadeem,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}","{'player_out': 'DJM Short', 'kind': 'run out'}",0.0,0,0.0,0,0,run out,DJM Short,0,1,0,1,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
1.3,BA Stokes,S Nadeem,0,AM Rahane,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
1.4,AM Rahane,S Nadeem,0,BA Stokes,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2018-04-11,male,T20,0,Rajasthan Royals,runs,10,0,0,0,0,SV Samson,20,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Sawai Mansingh Stadium
