delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,JC Buttler,R Ashwin,0,DJM Short,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.2,DJM Short,R Ashwin,0,JC Buttler,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.3,DJM Short,R Ashwin,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'DJM Short', 'fielders': ['AJ Tye'], 'kind': 'caught'}",0.0,0,0.0,0.0,0,caught,DJM Short,['AJ Tye'],0,0,0,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.4,JC Buttler,R Ashwin,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.5,JC Buttler,R Ashwin,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
0.6,JC Buttler,R Ashwin,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
1.1,AM Rahane,AS Rajpoot,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
1.2,JC Buttler,AS Rajpoot,0,AM Rahane,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
1.3,JC Buttler,AS Rajpoot,0,AM Rahane,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
1.4,JC Buttler,AS Rajpoot,{'byes': 4},AM Rahane,"{'extras': 4, 'total': 4, 'batsman': 0}",0,0.0,0,0.0,4.0,0,0,0,0,0,4,4,Rajasthan Royals,Indore,2018-05-06,male,T20,0,Kings XI Punjab,wickets,6,0,0,0,0,Mujeeb Ur Rahman,20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium
