delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,E Lewis,Mohammed Shami,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.2,YBK Jaiswal,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.3,YBK Jaiswal,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.4,YBK Jaiswal,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.5,YBK Jaiswal,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
0.6,YBK Jaiswal,Mohammed Shami,0,E Lewis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.1,E Lewis,IC Porel,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.2,E Lewis,IC Porel,{'wides': 1},YBK Jaiswal,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.3,E Lewis,IC Porel,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.4,E Lewis,IC Porel,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.5,YBK Jaiswal,IC Porel,{'legbyes': 1},E Lewis,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
1.6,E Lewis,IC Porel,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-21,male,T20,0,Rajasthan Royals,runs,2,0,0,0,0,Kartik Tyagi,20,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium
