delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,E Lewis,GHS Garton,0,YBK Jaiswal,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
0.2,E Lewis,GHS Garton,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
0.3,E Lewis,GHS Garton,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
0.4,E Lewis,GHS Garton,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
0.5,E Lewis,GHS Garton,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
0.6,YBK Jaiswal,GHS Garton,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
1.1,E Lewis,Mohammed Siraj,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
1.2,YBK Jaiswal,Mohammed Siraj,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
1.3,YBK Jaiswal,Mohammed Siraj,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
1.4,YBK Jaiswal,Mohammed Siraj,0,E Lewis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Dubai,2021-09-29,male,T20,0,Royal Challengers Bangalore,wickets,7,0,0,0,0,YS Chahal,20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Dubai International Cricket Stadium
