delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,YBK Jaiswal,B Kumar,{'legbyes': 1},SV Samson,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0.0,1.0,0,0,0,0,0,0,1,1,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
0.2,SV Samson,B Kumar,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
0.3,YBK Jaiswal,B Kumar,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
0.4,YBK Jaiswal,B Kumar,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
0.5,YBK Jaiswal,B Kumar,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
0.6,YBK Jaiswal,B Kumar,0,SV Samson,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
1.1,SV Samson,Yash Dayal,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
1.2,SV Samson,Yash Dayal,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
1.3,SV Samson,Yash Dayal,0,YBK Jaiswal,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
1.4,SV Samson,Yash Dayal,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
1.5,YBK Jaiswal,Yash Dayal,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
1.6,YBK Jaiswal,Yash Dayal,0,SV Samson,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
2.1,SV Samson,B Kumar,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
2.2,YBK Jaiswal,B Kumar,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
2.3,YBK Jaiswal,B Kumar,0,SV Samson,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
2.4,YBK Jaiswal,B Kumar,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Jaipur,2025-04-13,male,T20,0,Royal Challengers Bengaluru,wickets,9,0,0,0,0,PD Salt,20,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Sawai Mansingh Stadium, Jaipur"
