delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,KH Pandya,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.2,V Kohli,KH Pandya,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.3,V Kohli,KH Pandya,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.4,V Kohli,KH Pandya,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.5,V Kohli,KH Pandya,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
0.6,F du Plessis,KH Pandya,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.1,V Kohli,MP Stoinis,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.2,F du Plessis,MP Stoinis,0,V Kohli,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.3,F du Plessis,MP Stoinis,0,V Kohli,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.4,F du Plessis,MP Stoinis,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.5,V Kohli,MP Stoinis,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1.6,F du Plessis,MP Stoinis,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.1,V Kohli,KH Pandya,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.2,F du Plessis,KH Pandya,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.3,F du Plessis,KH Pandya,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.4,F du Plessis,KH Pandya,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.5,V Kohli,KH Pandya,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2.6,F du Plessis,KH Pandya,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
3.1,F du Plessis,Naveen-ul-Haq,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
3.2,F du Plessis,Naveen-ul-Haq,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
3.3,F du Plessis,Naveen-ul-Haq,0,V Kohli,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
3.4,F du Plessis,Naveen-ul-Haq,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
3.5,V Kohli,Naveen-ul-Haq,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
3.6,V Kohli,Naveen-ul-Haq,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
4.1,V Kohli,KH Pandya,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
4.2,F du Plessis,KH Pandya,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Lucknow,2023-05-01,male,T20,0,Royal Challengers Bangalore,runs,18,0,0,0,0,F du Plessis,20,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
