delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,Sandeep Sharma,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
0.2,F du Plessis,Sandeep Sharma,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
0.3,V Kohli,Sandeep Sharma,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
0.4,F du Plessis,Sandeep Sharma,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
0.5,V Kohli,Sandeep Sharma,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
0.6,V Kohli,Sandeep Sharma,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
1.1,V Kohli,A Zampa,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
1.2,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
1.3,V Kohli,A Zampa,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
1.4,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
1.5,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
1.6,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
2.1,V Kohli,Sandeep Sharma,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
2.2,V Kohli,Sandeep Sharma,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
2.3,F du Plessis,Sandeep Sharma,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
2.4,V Kohli,Sandeep Sharma,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
2.5,V Kohli,Sandeep Sharma,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
2.6,F du Plessis,Sandeep Sharma,{'wides': 1},V Kohli,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
2.7,F du Plessis,Sandeep Sharma,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
3.1,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
3.2,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
3.3,V Kohli,A Zampa,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
3.4,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
3.5,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
3.6,F du Plessis,A Zampa,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
4.1,V Kohli,YS Chahal,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
4.2,V Kohli,YS Chahal,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
4.3,F du Plessis,YS Chahal,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
4.4,V Kohli,YS Chahal,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
4.5,F du Plessis,YS Chahal,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
4.6,V Kohli,YS Chahal,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
5.1,V Kohli,R Ashwin,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
5.2,F du Plessis,R Ashwin,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
5.3,V Kohli,R Ashwin,{'wides': 1},F du Plessis,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
5.4,V Kohli,R Ashwin,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
5.5,F du Plessis,R Ashwin,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
5.6,F du Plessis,R Ashwin,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
5.7,F du Plessis,R Ashwin,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
6.1,V Kohli,KM Asif,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
6.2,F du Plessis,KM Asif,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
6.3,F du Plessis,KM Asif,0,V Kohli,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
6.4,F du Plessis,KM Asif,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
6.5,F du Plessis,KM Asif,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
6.6,V Kohli,KM Asif,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'V Kohli', 'fielders': ['YBK Jaiswal'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,V Kohli,['YBK Jaiswal'],0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
7.1,F du Plessis,R Ashwin,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
7.2,GJ Maxwell,R Ashwin,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
7.3,F du Plessis,R Ashwin,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
7.4,GJ Maxwell,R Ashwin,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
7.5,F du Plessis,R Ashwin,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
7.6,GJ Maxwell,R Ashwin,0,F du Plessis,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
8.1,F du Plessis,YS Chahal,0,GJ Maxwell,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
8.2,GJ Maxwell,YS Chahal,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bangalore,Jaipur,2023-05-14,male,T20,0,Royal Challengers Bangalore,runs,112,0,0,0,0,WD Parnell,20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,"Sawai Mansingh Stadium, Jaipur"
