delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PD Salt,KK Ahmed,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.2,PD Salt,KK Ahmed,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.3,PD Salt,KK Ahmed,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.4,PD Salt,KK Ahmed,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.5,PD Salt,KK Ahmed,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
0.6,PD Salt,KK Ahmed,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.1,PD Salt,R Ashwin,0,V Kohli,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0.0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.2,PD Salt,R Ashwin,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.3,PD Salt,R Ashwin,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.4,V Kohli,R Ashwin,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
1.5,V Kohli,R Ashwin,0,PD Salt,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Chennai,2025-03-28,male,T20,0,Royal Challengers Bengaluru,runs,50,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai"
