delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PD Salt,MA Starc,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
0.2,PD Salt,MA Starc,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
0.3,PD Salt,MA Starc,{'wides': 5},V Kohli,"{'extras': 5, 'total': 5, 'batsman': 0}",0,5.0,0.0,0.0,0,0,0,0,0,0,5,5,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
0.4,PD Salt,MA Starc,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
0.5,V Kohli,MA Starc,0,PD Salt,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
0.6,PD Salt,MA Starc,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
0.7,PD Salt,MA Starc,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
1.1,V Kohli,AR Patel,0,PD Salt,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
1.2,V Kohli,AR Patel,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
1.3,V Kohli,AR Patel,0,PD Salt,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-10,male,T20,0,Delhi Capitals,wickets,6,0,0,0,0,KL Rahul,20,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,"M Chinnaswamy Stadium, Bengaluru"
