delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,V Kaverappa,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
0.2,V Kohli,V Kaverappa,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
0.3,V Kohli,V Kaverappa,0,F du Plessis,"{'extras': 0, 'total': 3, 'batsman': 3}",0,0.0,0.0,0.0,0,0,0,0,0,3,0,3,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
0.4,F du Plessis,V Kaverappa,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
0.5,F du Plessis,V Kaverappa,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
0.6,F du Plessis,V Kaverappa,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
1.1,V Kohli,Arshdeep Singh,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
1.2,F du Plessis,Arshdeep Singh,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
1.3,F du Plessis,Arshdeep Singh,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
1.4,V Kohli,Arshdeep Singh,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Dharamsala,2024-05-09,male,T20,0,Royal Challengers Bengaluru,runs,60,0,0,0,0,V Kohli,20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
