delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,V Kohli,Abhishek Sharma,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.2,V Kohli,Abhishek Sharma,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.3,F du Plessis,Abhishek Sharma,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.4,V Kohli,Abhishek Sharma,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.5,F du Plessis,Abhishek Sharma,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
0.6,V Kohli,Abhishek Sharma,0,F du Plessis,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.1,F du Plessis,B Kumar,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.2,F du Plessis,B Kumar,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.3,V Kohli,B Kumar,0,F du Plessis,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.4,V Kohli,B Kumar,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.5,F du Plessis,B Kumar,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1.6,F du Plessis,B Kumar,0,V Kohli,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2.1,V Kohli,PJ Cummins,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2.2,V Kohli,PJ Cummins,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2.3,V Kohli,PJ Cummins,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2.4,F du Plessis,PJ Cummins,0,V Kohli,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0.0,0.0,0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2.5,F du Plessis,PJ Cummins,0,V Kohli,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2.6,F du Plessis,PJ Cummins,0,V Kohli,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
3.1,V Kohli,T Natarajan,0,F du Plessis,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
3.2,V Kohli,T Natarajan,0,F du Plessis,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
3.3,F du Plessis,T Natarajan,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Hyderabad,2024-04-25,male,T20,0,Royal Challengers Bengaluru,runs,35,0,0,0,0,RM Patidar,20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
