delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,S Dhawan,AS Rajpoot,0,KS Williamson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
0.2,KS Williamson,AS Rajpoot,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
0.3,KS Williamson,AS Rajpoot,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
0.4,KS Williamson,AS Rajpoot,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'KS Williamson', 'fielders': ['R Ashwin'], 'kind': 'caught'}",0.0,0.0,0.0,0.0,0,caught,KS Williamson,['R Ashwin'],0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
0.5,WP Saha,AS Rajpoot,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
0.6,WP Saha,AS Rajpoot,0,S Dhawan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
1.1,S Dhawan,BB Sran,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
1.2,S Dhawan,BB Sran,0,WP Saha,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
1.3,S Dhawan,BB Sran,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
1.4,S Dhawan,BB Sran,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
1.5,S Dhawan,BB Sran,{'legbyes': 1},WP Saha,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,1,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
1.6,WP Saha,BB Sran,0,S Dhawan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
2.1,S Dhawan,AS Rajpoot,0,WP Saha,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
2.2,S Dhawan,AS Rajpoot,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'S Dhawan', 'fielders': ['KK Nair'], 'kind': 'caught'}",0.0,0.0,0.0,0.0,0,caught,S Dhawan,['KK Nair'],0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
2.3,MK Pandey,AS Rajpoot,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
2.4,MK Pandey,AS Rajpoot,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
2.5,MK Pandey,AS Rajpoot,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
2.6,MK Pandey,AS Rajpoot,0,WP Saha,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
3.1,WP Saha,BB Sran,0,MK Pandey,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Hyderabad,2018-04-26,male,T20,0,Sunrisers Hyderabad,runs,13,0,0,0,0,AS Rajpoot,20,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Rajiv Gandhi International Stadium
