delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DA Warner,SP Narine,0,JM Bairstow,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
0.2,DA Warner,SP Narine,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
0.3,DA Warner,SP Narine,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
0.4,DA Warner,SP Narine,0,JM Bairstow,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
0.5,DA Warner,SP Narine,0,JM Bairstow,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
0.6,JM Bairstow,SP Narine,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
1.1,JM Bairstow,PJ Cummins,0,DA Warner,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
1.2,JM Bairstow,PJ Cummins,0,DA Warner,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
1.3,DA Warner,PJ Cummins,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
1.4,DA Warner,PJ Cummins,0,JM Bairstow,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Sunrisers Hyderabad,Abu Dhabi,2020-09-26,male,T20,0,Kolkata Knight Riders,wickets,7,0,0,0,0,Shubman Gill,20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Sheikh Zayed Stadium
